WKT,gid,access,addr:housenumber,aeroway,ele,landuse,military,name,operator,ref,surface,width
"POINT (-69.3958068 -37.0651257003607)","7439352503",private,,aerodrome,,,,Río Colorado / Vale,,,,
"POINT (-69.5385971 -36.7714005002922)","1042020717",,,aerodrome,,,,Aeródromo Confluencia,,,,
"POINT (-69.2185587 -30.2635068993205)","5172147428",,,aerodrome,,,,Aeródromo de Pismanta,,,,
"POINT (-66.586177 -31.3267471993577)","2040502798",,,aerodrome,,,,Aeropuerto Chepes,,,,
"POINT (-69.3458023 -32.5388984994678)","1042059149",,,aerodrome,,,,Aeródromo Uspallata,,,,
"POINT (-68.634201 -32.7214011994905)","1042021091",,,aerodrome,,,,Aeródromo Lanzillota,,,,
"POINT (-62.8444321 -31.8585716993972)","1042021878",,,aerodrome,"145",,,Aeródromo Ginevro,,,,
"POINT (-61.7779501 -32.9985612995279)","1042021778",,,aerodrome,"70",,,Aeródromo Estancia San Vicente,,,,
"POINT (-61.3355136 -33.8136115996571)","1892880727",,,aerodrome,,,,Areodromo Privado,,,,
"POINT (-62.676375 -34.2858719997438)","1042021364",,,aerodrome,,,,Aeroclub Rufino,,,,
"POINT (-63.1248603 -34.546642899795)","1042020851",,,aerodrome,,,,Fortín De Gainza,,,,
"POINT (-62.4817 -34.8457999998563)","1042020486",,,aerodrome,,,,Aeroclub Ameghino,,,,
"POINT (-62.4678 -34.8305999998532)","1042022196",,,aerodrome,,,,Aeródromo Sigfrido Rohr Aviagro SRL,,,,
"POINT (-62.2173701 -35.1102738999126)","1042022006",,,aerodrome,"107",,,Aeródromo Las Lilas,,,,
"POINT (-62.0257457 -35.1038731999112)","1042021045",,,aerodrome,"102",,,Aeródromo Fumigaciones Herbinsec,,,,
"POINT (-61.9972222 -35.1358332999181)","10224693126",,,aerodrome,"99",,,Aeródromo Agroaéreo,,,,
"POINT (-62.0186758 -35.1011259999106)","10129117960",,,aerodrome,"100",,,Aeródromo La Amalia,,AMA,,
"POINT (-61.3042 -34.9463999998775)","1042021075",,,aerodrome,"75",,,Aeródromo La Nueva,,,,
"POINT (-60.5249315 -35.1487884999209)","8284024956",,,aerodrome,,,,,Mahmet Aeroaplicaciones,,,
"POINT (-60.4560252 -35.1744870999265)","5579053111",,,aerodrome,,,,AgroAereo Bragado,,,,
"POINT (-60.6694946 -34.2105643997295)","1042021334",,,aerodrome,,,,Aeródromo Rojas,,,,
"POINT (-58.6717 -34.5343999997926)","1042058996",,,aerodrome,,,,Aeródromo de Campo de Mayo,,,,
"POINT (-58.5003083 -34.7262356998315)","1042059020",,,aerodrome,,,,Centro Universitario de Aviación,,MAT / SADZ,,
"POINT (-58.0853 -35.0955999999094)","1042020962",,,aerodrome,"19",,,Aeródromo Gómez,,,,
"POINT (-58.1341177 -31.9643643994067)","6175532829",,,aerodrome,,,,"Estancia ""La Florita""",,,,
